2025-05-14T14:20:06.435Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 468ms
2025-05-14T14:20:06.451Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 276ms
2025-05-14T14:20:44.707Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 200 | Duration: 129ms
2025-05-14T14:20:44.798Z [info]: Logged request to /api/me | Method: GET | Status Code: 200 | Duration: 280ms
2025-05-14T14:20:44.839Z [info]: Logged request to /api/discount | Method: GET | Status Code: 200 | Duration: 337ms
2025-05-14T14:20:44.871Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 200 | Duration: 380ms
2025-05-14T14:20:45.086Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 283ms
2025-05-14T14:20:45.090Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 200 | Duration: 578ms
2025-05-14T14:21:00.809Z [info]: Logged request to /api/listing/682490d1c7b8eecedcd14bc8 | Method: DELETE | Status Code: 200 | Duration: 219ms
2025-05-14T14:21:01.324Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 200 | Duration: 524ms
2025-05-14T14:21:05.887Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 404 | Duration: 124ms
2025-05-14T14:21:06.008Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 404 | Duration: 119ms
2025-05-14T14:21:06.030Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 265ms
2025-05-14T14:21:06.036Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 235ms
2025-05-14T14:21:06.132Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 387ms
2025-05-14T14:21:06.297Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 249ms
